lat,lon,name
51.51225,-0.08806,King William Street EC4
51.51257,-0.10408,New Bridge Street EC4
51.51155,-0.07518,Minories EC3
51.51263,-0.09008,Walbrook EC4
51.51341,-0.08285,Leadenhall Street EC3
51.5139,-0.11017,"Fleet Street EC4, 32"
51.51415,-0.1002,Juxon House-St.Paul's Church Y
51.502555,-0.019413,Jubilee Place
51.51433,-0.10771,Fleet Street 150
51.5139,-0.11766,"Kingsway WC2, 10"
51.51357,-0.12348,"Covent Garden WC2 - Long Acre,"
51.514543,-0.098631,Paternoster Sq EC4
51.51458,-0.09612,Cheapside EC2
51.51446,-0.0853,Lion Plaza-Old Broad Street
51.489792,0.016725,Greenwich - Sainsbury's
51.50499,-0.0204,Canary Wharf - South Collonade
51.5055,-0.0197,Canary Wharf - Canada Square
51.50505,-0.014723,CanaryWharf - BankSt (25) London
51.50514,-0.01435,"Churchill Place (2), Canary Wh"
51.50652,-0.02608,Canary Wharf - Texaco
51.50369,0.00443,Greenwich- The O2 (101)
51.49113,0.06791,Woolwich - Powis Street (32)
51.51697,-0.06812,Whitechapel Road 45 Unit 5
51.515645,-0.08676,CopthallGarden Drapers Gardens(12)
51.51611,-0.08963,Moorgate (17) - London
51.51759,-0.08066,Liverpool St Station BishopsgateEnt
51.517356,-0.082996,Liverpool St Station Bishopsgate 3
51.51887,-0.07862,Brushfield Street E1
51.518392,-0.083673,Broadgate EC2 (Kiosk)
51.51901,-0.08136,Liverpool St Station BroadgateLink
51.53587,-0.20526,Queens Park
51.53015,-0.18612,Maida Vale - Randolph Ave
51.558222,-0.276099,Wembley Cineworld London Designer O
51.55858,-0.280645,"Wembley, Civic Centre"
51.536007,-0.190974,Kilburn - 24-32 High Road
51.51897,-0.15596,Baker Street (58)
51.52161,-0.15712,Baker Street W1
51.51483,-0.14673,"Oxford Street W1, 324"
51.514684,-0.14402,"London, Harewood Place"
51.51447,-0.14243,"Princes Street, London W1"
51.51402,-0.13925,Great Marlborough Street W1
51.516126,-0.14389,Cavendish Square W1
51.51527,-0.1395,Oxford St New Look (203) - Lon
51.5149,-0.13762,Great Marlborough Street (3-4)
51.51528,-0.1353,Wardour Street W1
51.51521,-0.13025,Charing Cross Road 129-133
51.516167,-0.132668,"Oxford Street W1, 55/56"
51.51759,-0.14281,Langham Place W1
51.5166,-0.12933,New Oxford Street WC1
51.516671,-0.10361,Fleet Place EC4
51.5164,-0.11988,"Kingsway  WC2, 99"
51.51795,-0.11783,"High Holborn WC1, 90"
51.51835,-0.11394,High Holborn WC1
51.52005,-0.08359,Sun Street EC2
51.52023,-0.08706,Finsbury Square EC2
51.52024,-0.10343,Cowcross Place EC1
51.52307,-0.09835,Clerkenwell - Goswell Road
51.52623,-0.08835,Old Street-104-122 City Road
51.54726,-0.19134,Hampstead - West End Lane
51.58144,-0.33885,Harrow - St Georges Centre(Uni
51.5339,-0.1714,St. John's Wood - High Street
51.54795,-0.18141,Swiss Cottage - 02 Centre
51.57617,-0.2245,Brent Cross - Shopping Centre
51.58367,-0.24429,Hendon - Sainsbury's
51.55624,-0.17813,60-61 Hampstead High Street
51.55503,-0.17348,Cobham WelcomeBreak - M25 (1&2)
51.57176,-0.19588,Golders Green
51.54541,-0.16269,Belsize Park - Englands Lane
51.55082,-0.16497,Belsize Park - Haverstock Hill
51.5542,-0.16576,Hampstead - South End Road
51.52128,-0.14342,Great Portland Street W1
51.52525,-0.13929,Euston Tower NW1
51.52237,-0.13582,Tottenham Court Road (175) - L
51.52071,-0.13471,"Tottenham Court Road, W1"
51.51828,-0.12578,Great Russell Street WC1
51.52075,-0.12298,Southampton Row WC1
51.52581,-0.12879,"Lynton House, Tavistock Square"
51.52448,-0.12363,Brunswick Centre Unit 7 London
51.52834,-0.12739,"Euston Road, 93"
51.53141,-0.12638,Kings Cross St Pancras Int'l S
51.53081,-0.12318,King Cross Station - Unit 2 London
51.530883,-0.122867,King Cross Station GC 11A London
51.53094,-0.12199,Kings Cross - Pentonville Road
51.53244,-0.10651,Islington - High Street
51.53448,-0.10522,"Islington - Upper Street, 30"
51.54294,-0.00442,Westfield Stratford (Unit SU00
51.54115,0.00143,Stratford - The Broadway (46)
51.54545,-0.1034,Highbury Corner
51.61327,-0.27685,Edgware - Station Road (81-83)
51.58112,-0.39481,Pinner - High Street (19/21)
51.58353,-0.19998,Temple Fortune - Parade
51.631015,-0.264037,London Gateway WelcomeBreak-London
51.639082,-0.309162,Borehamwood VLG Hotel-CentPkElstree
51.54087,-0.14476,Camden - Lock Keeper's Cottage
51.53881,-0.14391,Camden - Parkway
51.6163,-0.17702,North Finchley - 811 High Road
51.59003,-0.14361,Muswell Hill - Broadway
51.65582,-0.27705,"Borehamwood Shopping Park, Uni"
51.57872,-0.12408,Crouch End - Broadway
51.57618,0.02734,Wanstead - High Street (56A-58
51.655076,-0.393278,Watford - Harlequin Centre
51.65542,-0.20198,Barnet High Street
51.6873,-0.225745,PottersBar WelcomeBrk-SouthMimms2C
51.68779,-0.22386,PottersBar WelcomeBreak- SouthMimms
51.716061,-0.28646,London Colney - Sainsbury's
51.716061,-0.282385,London Colney - New Look
51.618,-0.10891,Palmers Green - Green Lanes 30
51.54506,-0.47663,Uxbridge - The Chimes (Kiosk)
51.54583,-0.47856,Uxbridge - The Chimes
51.72121,-0.36219,Chiswell Green - Road Side
51.63051,-0.09711,Winchmore Hill - Sainsbury's
51.634302,-0.06942,Enfield Cineworld Southbury Rd(208)
51.65228,-0.08344,Enfield - Church St
